"","solvent","sample","plate","well","control","control2","auc","run","A","mu","lambda","rel_fitness","rel_max_GR","DT","rel_fit_off_plate","strain","rel_fit_to_by"
"240","H2O-2","Benzamidine","S1L1","H12",2,"case",69787.5705,"SAM-MIATCS3ISH",0.509,2.71308664507632e-05,24015.9869013933,0.995266366061231,1.08905199361788,7.09674657233283,0.948609645163601,"S6.14",1.41414747469788
"241","H2O-2","Blasticidin hydrochloride","S3L2","C11",2,"case",67479.708,"SAM-MIATCS3ISH",0.533,4.84641834111355e-05,14246.932012722,1.01564569988643,2.30190113932364,3.97284901832544,0.710576377024106,"W.34.70",0.677270227051912
"242","H2O-2","Blasticidin hydrochloride","S2L2","C11",2,"case",122640.445,"SAM-MIATCS3ISH",1.141,1.60724366508352e-05,24242.1838697349,1.06060550634216,0.802162830730984,11.9795702214741,2.51007063948443,"u5.05",1.23089925094071
"243","H2O-2","Blasticidin hydrochloride","S1L1","C11",2,"case",71237.94,"SAM-MIATCS3ISH",0.532,2.39092786452434e-05,23474.1074052023,1.01595062217402,0.959735201300038,8.05297752164424,0.968324251746031,"S6.14",0.714990287132103
"244","H2O-2","Blasticidin hydrochloride","S3L1","C11",2,"case",121291.776,"SAM-MIATCS3ISH",1.008,4.68890116631543e-05,24570.2776955273,0.820965276689269,0.967716878768647,4.10631140771461,2.35155415697853,"wlp.644",1.217363131907
"245","H2O-2","Blasticidin hydrochloride","S2L1","C11",2,"case",105686.855,"SAM-MIATCS3ISH",0.88,4.13935261393732e-05,36923.4817665012,1.24256485362508,0.911264076260681,4.65147334490382,1.31046632364633,"s6.113",1.06074199790925
"246","H2O-2","Blasticidin hydrochloride","S1L2","C11",2,"case",138238.071,"SAM-MIATCS3ISH",1.002,3.62941604301136e-05,18825.9132096442,1.07788840305954,1.00597060573385,5.30500998527357,1.76974473917985,"S6.45",1.387447167575
"247","H2O-2","Caffeine","S3L2","C08",2,"case",91798.643,"SAM-MIATCS3ISH",0.824,2.66715859218424e-05,38312.8129683909,1.3816730952416,1.26681911671188,7.21895143592473,0.966660187069413,"W.34.70",0.801926372679869
"248","H2O-2","Caffeine","S1L2","C08",2,"case",148124.547,"SAM-MIATCS3ISH",1.163,4.38571567673313e-05,18473.2376663304,1.15497655793929,1.21559529235978,4.39018161871121,1.89631290353182,"S6.45",1.2939731656007
"249","H2O-2","Caffeine","S1L1","C08",2,"case",70159.873,"SAM-MIATCS3ISH",0.534,2.3877088900174e-05,24967.957988054,1.00057590977504,0.958443082373226,8.06383409191354,0.953670284757274,"S6.14",0.612896341643855
"250","H2O-2","Caffeine","S2L1","C08",2,"case",87208.7455,"SAM-MIATCS3ISH",0.654,2.8356667049485e-05,23121.4660886986,1.0253169335679,0.624262159200336,6.7899687630028,1.08134662636327,"s6.113",0.761830356738246
"251","H2O-2","Caffeine","S2L2","C08",2,"case",93979.181,"SAM-MIATCS3ISH",0.969,2.38468874916628e-05,50496.1418229837,0.812740339046607,1.19017963423994,8.07404670970953,1.92346320131905,"u5.05",0.82097492145668
"252","H2O-2","Caffeine","S3L1","C08",2,"case",100140.671,"SAM-MIATCS3ISH",0.773,3.84869652680411e-05,23999.4586141993,0.677803692769443,0.794311600552098,5.00275566410418,1.94148539116675,"wlp.644",0.874799914556015
"253","H2O-2","Cetylpyridinium chloride","S3L2","A08",2,"case",3209.9515,"SAM-MIATCS3ISH",0.03,5.37847652669124e-07,417.737446677699,0.0483133898240786,0.0255461257638178,357.984054654455,0.0338015052953859,"W.34.70",0.720120735337386
"254","H2O-2","Cetylpyridinium chloride","S2L2","A08",2,"case",43676.2635,"SAM-MIATCS3ISH",0.405,3.83169375493091e-05,141649.658312343,0.37771622212029,1.91236859458388,5.02495491037346,0.893918043543755,"u5.05",9.79833589024925
"255","H2O-2","Cetylpyridinium chloride","S1L1","A08",2,"case",81767.5695,"SAM-MIATCS3ISH",0.589,7.8376797898675e-05,859.482244061749,1.16611756470193,3.14609959692372,2.45660563650214,1.1114515741637,"S6.14",18.3437420394329
"256","H2O-2","Cetylpyridinium chloride","S3L1","A08",2,"case",84681.8875,"SAM-MIATCS3ISH",0.722,0.000556344708012846,0,0.573170675660706,11.4820966631871,0.34608198966535,1.64177697069431,"wlp.644",18.9975403355028
