run,plate,well,A,mu,lambda
SAM-MIATCS3ISH,S1L1,E05,0.504,1.6063639820864335e-5,35706.88291339205
SAM-MIATCS3ISH,S1L1,E06,0.548,2.3734949665093942e-5,24761.98890387768
SAM-MIATCS3ISH,S1L1,E07,0.42,1.060801687730995e-5,71994.23368115818
SAM-MIATCS3ISH,S1L1,E08,0.544,2.6627724571581676e-5,36448.20538616482
SAM-MIATCS3ISH,S1L1,E09,0.5800000000000001,2.631639852744538e-5,24008.204912613546
SAM-MIATCS3ISH,S1L1,E10,0.5740000000000001,2.5867193375648293e-5,23777.133443845825
SAM-MIATCS3ISH,S1L1,E11,0.47000000000000003,1.1777929609247084e-5,41310.96632536567
SAM-MIATCS3ISH,S1L1,E12,0.536,2.6666902299922595e-5,23749.580519590185
SAM-MIATCS3ISH,S1L1,F01,0.6030000000000001,2.44058202533783e-5,26503.812675550544
SAM-MIATCS3ISH,S1L1,F02,0.41,2.082869096658841e-5,38519.244862673135
SAM-MIATCS3ISH,S1L1,F03,0.505,2.0198571048329827e-5,111150.77105637942
SAM-MIATCS3ISH,S1L1,F04,0.548,2.6332879402608535e-5,23861.84485644503
SAM-MIATCS3ISH,S1L1,F05,0.56,1.4859259837147964e-5,31665.888871537023
SAM-MIATCS3ISH,S1L1,F06,0.464,1.8353604948112988e-5,46839.04696285131
SAM-MIATCS3ISH,S1L1,F07,0.31,1.8985549238333256e-5,24159.850995021534
SAM-MIATCS3ISH,S1L1,F08,0.35,1.8428376128882882e-5,46494.45462643422
SAM-MIATCS3ISH,S1L1,F09,0.035,1.9440704335607057e-6,154365.53706172828
SAM-MIATCS3ISH,S1L1,F10,0.552,2.5870382095422334e-5,23700.944738974835
SAM-MIATCS3ISH,S1L1,F11,0.532,2.215664360624217e-5,26447.09567144499
SAM-MIATCS3ISH,S1L1,F12,0.511,2.3850871370236678e-5,23627.489320204433
SAM-MIATCS3ISH,S1L1,G01,0.09899999999999999,3.1394469588658915e-6,12078.48475327449
SAM-MIATCS3ISH,S1L1,G02,0.5710000000000001,6.836394093589755e-5,2453.0537621832204
SAM-MIATCS3ISH,S1L1,G03,0.859,1.0460823780470838e-4,7339.7961979012725
SAM-MIATCS3ISH,S1L1,G04,0.025999999999999995,1.4332683033494102e-6,187.29392664088292
SAM-MIATCS3ISH,S1L1,G05,0.431,1.2968742922880703e-4,3003.903033774174
SAM-MIATCS3ISH,S1L1,G06,0.8340000000000001,2.85781398503215e-5,33669.76993306621
SAM-MIATCS3ISH,S1L1,G07,0.09000000000000001,4.196288781178181e-6,59520.45257481518
SAM-MIATCS3ISH,S1L1,G08,0.077,4.192701290083167e-6,22816.907236277264
SAM-MIATCS3ISH,S1L1,G09,0.519,2.2076225190568392e-5,23938.372962341215
SAM-MIATCS3ISH,S1L1,G10,0.437,1.966293299967221e-5,25022.149637658284
SAM-MIATCS3ISH,S1L1,G11,0.426,8.877174586802036e-5,6409.226875509424
SAM-MIATCS3ISH,S1L1,G12,0.46,2.3678634773453113e-5,32271.58158582681
SAM-MIATCS3ISH,S1L1,H01,0.8530000000000001,5.756344502207687e-5,9970.40870222778
SAM-MIATCS3ISH,S1L1,H02,0.514,2.563636260096901e-5,24872.21946272859
SAM-MIATCS3ISH,S1L1,H03,0.438,1.4692846460790824e-5,29856.770841147052
SAM-MIATCS3ISH,S1L1,H04,0.617,3.1662286952866785e-5,1303.5843823022392
SAM-MIATCS3ISH,S1L1,H05,0.018000000000000002,7.35616171689236e-7,18835.35869333485
SAM-MIATCS3ISH,S1L1,H06,0.614,2.6965630756301018e-5,23924.69746930782
SAM-MIATCS3ISH,S1L1,H07,0.505,2.9256769563129044e-5,1250.5962917995016
SAM-MIATCS3ISH,S1L1,H08,0.5710000000000001,2.4111153023053444e-5,26978.761467355765
SAM-MIATCS3ISH,S1L1,H09,0.468,1.9759354562014357e-5,47971.89897473842
SAM-MIATCS3ISH,S1L1,H10,0.43,4.587960573861561e-5,83066.65662419538
SAM-MIATCS3ISH,S1L1,H11,0.015,1.2161862486260719e-6,20811.30262395425
SAM-MIATCS3ISH,S1L1,H12,0.509,2.713086645076321e-5,24015.986901393313
SAM-MIATCS3ISH,S1L2,A01,1.323,4.5657749195547086e-5,88810.98349214342
SAM-MIATCS3ISH,S1L2,A02,0.8490000000000001,3.316401184138823e-5,46323.02582214899
SAM-MIATCS3ISH,S1L2,A03,0.8190000000000001,3.3485858490105267e-5,2246.33548994944
SAM-MIATCS3ISH,S1L2,A04,1.008,2.8291370803970544e-5,16210.134882539262
SAM-MIATCS3ISH,S1L2,A05,0.865,4.021918328022496e-5,18025.677086117274
SAM-MIATCS3ISH,S1L2,A06,0.808,1.9805638308363855e-5,2874.386100417587
SAM-MIATCS3ISH,S1L2,A07,0.9,3.607874844776122e-5,19281.139215806434
SAM-MIATCS3ISH,S1L2,A08,0.782,3.1725147018302695e-5,35950.54432675327
SAM-MIATCS3ISH,S1L2,A09,0.239,3.446045581883337e-5,2210.798797077355
SAM-MIATCS3ISH,S1L2,A10,1.65,4.3296269569637595e-5,5143.921200399732
SAM-MIATCS3ISH,S1L2,A11,0.8260000000000001,3.5440910571602616e-5,15987.007752569638
SAM-MIATCS3ISH,S1L2,A12,0.759,2.6433430798578674e-5,21839.331019905745
SAM-MIATCS3ISH,S1L2,B01,0.626,3.522996982233309e-5,26226.360152757232
SAM-MIATCS3ISH,S1L2,B02,0.28700000000000003,2.2895406967477005e-5,3827.4343396470626
SAM-MIATCS3ISH,S1L2,B03,0.963,2.9754523351484627e-5,20989.706784769292
SAM-MIATCS3ISH,S1L2,B04,1.0150000000000001,4.208634352885445e-5,17014.302273685633
SAM-MIATCS3ISH,S1L2,B05,0.907,6.927668466648989e-5,1882.2964893100534
SAM-MIATCS3ISH,S1L2,B06,0.30600000000000005,2.120455033245601e-5,5464.358247567537
SAM-MIATCS3ISH,S1L2,B07,1.0270000000000001,4.00144064811635e-5,14515.718244311221
SAM-MIATCS3ISH,S1L2,B08,0.257,2.3093149044063093e-5,4690.3219364737015
SAM-MIATCS3ISH,S1L2,B09,0.992,2.993202348342853e-5,17648.4061869611
SAM-MIATCS3ISH,S1L2,B10,0.994,3.6242175953534576e-5,18022.862344678666
SAM-MIATCS3ISH,S1L2,B11,0.914,9.939026994312687e-5,5141.061776744347
SAM-MIATCS3ISH,S1L2,B12,0.519,2.8020409826520118e-5,14338.953685440049
SAM-MIATCS3ISH,S1L2,C01,1.2009999999999998,5.380346060329507e-5,31758.268191441508
SAM-MIATCS3ISH,S1L2,C02,1.057,3.848880875753769e-5,20634.77940065472
SAM-MIATCS3ISH,S1L2,C03,1.067,3.779046695069837e-5,18899.63998537822
SAM-MIATCS3ISH,S1L2,C04,0.805,2.2109726961937944e-5,17662.48953752995
SAM-MIATCS3ISH,S1L2,C05,1.0290000000000001,4.446312835138584e-5,18159.670648093233
SAM-MIATCS3ISH,S1L2,C06,0.316,1.943320181108852e-5,4342.417411545066
SAM-MIATCS3ISH,S1L2,C07,1.2109999999999999,7.472950886416068e-5,29965.89599897681
SAM-MIATCS3ISH,S1L2,C08,1.163,4.385715676733131e-5,18473.237666330402
SAM-MIATCS3ISH,S1L2,C09,1.153,5.014744032208538e-5,18555.284820740144
SAM-MIATCS3ISH,S1L2,C10,0.8,1.939755150807292e-5,15866.246444207529
SAM-MIATCS3ISH,S1L2,C11,1.002,3.629416043011364e-5,18825.913209644234
SAM-MIATCS3ISH,S1L2,C12,0.026999999999999996,1.6979606668623453e-6,-0
SAM-MIATCS3ISH,S1L2,D01,0.223,2.916495829061781e-6,34024.73285980893
SAM-MIATCS3ISH,S1L2,D02,1.1909999999999998,3.839463399496643e-5,22566.554213224175
SAM-MIATCS3ISH,S1L2,D03,0.366,6.8387410780429255e-6,18425.64942947952
SAM-MIATCS3ISH,S1L2,D04,0.9630000000000001,3.4953592366639216e-5,20943.056296684663
SAM-MIATCS3ISH,S1L2,D05,1.213,3.456919201976369e-5,18096.84995563888
SAM-MIATCS3ISH,S1L2,D06,0.992,4.401002936494373e-5,18422.677685968163
SAM-MIATCS3ISH,S1L2,D07,0.32399999999999995,8.119577198647906e-6,17985.74759458876
SAM-MIATCS3ISH,S1L2,D08,0.913,4.488736948914185e-5,7675.7284072518605
SAM-MIATCS3ISH,S1L2,D09,0.15899999999999997,4.1444540041332284e-6,88055.36518168864
SAM-MIATCS3ISH,S1L2,D10,1.174,3.821412712727173e-5,24677.40528726801
SAM-MIATCS3ISH,S1L2,D11,0.8520000000000001,3.6474119351320626e-5,23082.327947444828
SAM-MIATCS3ISH,S1L2,D12,1.024,5.152075813122647e-5,19774.621705594298
SAM-MIATCS3ISH,S1L2,E01,1.153,2.109007111041144e-5,74091.7363006513
SAM-MIATCS3ISH,S1L2,E02,1.2049999999999998,1.0859295532216836e-4,5771.76375400159
SAM-MIATCS3ISH,S1L2,E03,1.0799999999999998,4.474866582313515e-5,17345.793158695735
SAM-MIATCS3ISH,S1L2,E04,0.944,5.498180457181522e-5,19593.66736273759
SAM-MIATCS3ISH,S1L2,E05,0.5690000000000001,1.745065189640093e-5,7033.161612853249
SAM-MIATCS3ISH,S1L2,E06,1.174,4.838745657119064e-5,19870.749956973334
