plate,well,runtime,measure,run,measures_pp
S1L1,A01,69258,0.684,saved-2019-08-27_SR1_results,0.6020000000000001
S1L1,A01,70159,0.681,saved-2019-08-27_SR1_results,0.5990000000000001
S1L1,A01,71059,0.681,saved-2019-08-27_SR1_results,0.5990000000000001
S1L1,A01,71960,0.681,saved-2019-08-27_SR1_results,0.5990000000000001
S1L1,A01,72861,0.681,saved-2019-08-27_SR1_results,0.5990000000000001
S1L1,A01,73762,0.683,saved-2019-08-27_SR1_results,0.6010000000000001
S1L1,A01,74662,0.679,saved-2019-08-27_SR1_results,0.5970000000000001
S1L1,A01,75563,0.68,saved-2019-08-27_SR1_results,0.5980000000000001
S1L1,A01,76464,0.678,saved-2019-08-27_SR1_results,0.5960000000000001
S1L1,A01,77365,0.678,saved-2019-08-27_SR1_results,0.5960000000000001
S1L1,A01,78265,0.677,saved-2019-08-27_SR1_results,0.5950000000000001
S1L1,A01,79166,0.675,saved-2019-08-27_SR1_results,0.5930000000000001
S1L1,A01,80057,0.677,saved-2019-08-27_SR1_results,0.5950000000000001
S1L1,A01,80958,0.678,saved-2019-08-27_SR1_results,0.5960000000000001
S1L1,A01,81858,0.675,saved-2019-08-27_SR1_results,0.5930000000000001
S1L1,A01,82759,0.673,saved-2019-08-27_SR1_results,0.5910000000000001
S1L1,A01,83660,0.674,saved-2019-08-27_SR1_results,0.5920000000000001
S1L1,A01,84561,0.674,saved-2019-08-27_SR1_results,0.5920000000000001
S1L1,A01,85462,0.673,saved-2019-08-27_SR1_results,0.5910000000000001
S1L1,A01,86362,0.673,saved-2019-08-27_SR1_results,0.5910000000000001
S1L1,A01,87263,0.674,saved-2019-08-27_SR1_results,0.5920000000000001
S1L1,A01,88164,0.673,saved-2019-08-27_SR1_results,0.5910000000000001
S1L1,A01,89065,0.67,saved-2019-08-27_SR1_results,0.5880000000000001
S1L1,A01,89965,0.671,saved-2019-08-27_SR1_results,0.5890000000000001
S1L1,A01,90866,0.669,saved-2019-08-27_SR1_results,0.5870000000000001
S1L1,A01,91767,0.67,saved-2019-08-27_SR1_results,0.5880000000000001
S1L1,A01,92658,0.67,saved-2019-08-27_SR1_results,0.5880000000000001
S1L1,A01,93558,0.67,saved-2019-08-27_SR1_results,0.5880000000000001
S1L1,A01,94459,0.668,saved-2019-08-27_SR1_results,0.5860000000000001
S1L1,A01,95360,0.668,saved-2019-08-27_SR1_results,0.5860000000000001
S1L1,A01,96261,0.666,saved-2019-08-27_SR1_results,0.5840000000000001
S1L1,A01,97161,0.666,saved-2019-08-27_SR1_results,0.5840000000000001
S1L1,A01,98062,0.667,saved-2019-08-27_SR1_results,0.5850000000000001
S1L1,A01,98963,0.667,saved-2019-08-27_SR1_results,0.5850000000000001
S1L1,A01,99864,0.666,saved-2019-08-27_SR1_results,0.5840000000000001
S1L1,A01,100764,0.665,saved-2019-08-27_SR1_results,0.5830000000000001
S1L1,A01,101665,0.666,saved-2019-08-27_SR1_results,0.5840000000000001
S1L1,A01,102566,0.664,saved-2019-08-27_SR1_results,0.5820000000000001
S1L1,A01,103467,0.665,saved-2019-08-27_SR1_results,0.5830000000000001
S1L1,A01,104357,0.663,saved-2019-08-27_SR1_results,0.5810000000000001
S1L1,A01,105258,0.664,saved-2019-08-27_SR1_results,0.5820000000000001
S1L1,A01,106159,0.664,saved-2019-08-27_SR1_results,0.5820000000000001
S1L1,A01,107060,0.661,saved-2019-08-27_SR1_results,0.5790000000000001
S1L1,A01,107960,0.66,saved-2019-08-27_SR1_results,0.5780000000000001
S1L1,A01,108861,0.661,saved-2019-08-27_SR1_results,0.5790000000000001
S1L1,A01,109762,0.66,saved-2019-08-27_SR1_results,0.5780000000000001
S1L1,A01,110663,0.663,saved-2019-08-27_SR1_results,0.5810000000000001
S1L1,A01,111563,0.66,saved-2019-08-27_SR1_results,0.5780000000000001
S1L1,A01,112464,0.658,saved-2019-08-27_SR1_results,0.5760000000000001
S1L1,A01,113365,0.658,saved-2019-08-27_SR1_results,0.5760000000000001
S1L1,A01,114266,0.66,saved-2019-08-27_SR1_results,0.5780000000000001
S1L1,A01,115166,0.658,saved-2019-08-27_SR1_results,0.5760000000000001
S1L1,A01,116057,0.66,saved-2019-08-27_SR1_results,0.5780000000000001
S1L1,A01,116958,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,117859,0.657,saved-2019-08-27_SR1_results,0.5750000000000001
S1L1,A01,118759,0.658,saved-2019-08-27_SR1_results,0.5760000000000001
S1L1,A01,119660,0.658,saved-2019-08-27_SR1_results,0.5760000000000001
S1L1,A01,120561,0.657,saved-2019-08-27_SR1_results,0.5750000000000001
S1L1,A01,121462,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,122362,0.658,saved-2019-08-27_SR1_results,0.5760000000000001
S1L1,A01,123263,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,124164,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,125065,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,125965,0.655,saved-2019-08-27_SR1_results,0.5730000000000001
S1L1,A01,126866,0.655,saved-2019-08-27_SR1_results,0.5730000000000001
S1L1,A01,127757,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,128658,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,129558,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,130459,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,131360,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,132261,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,133162,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,134062,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,134963,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,135864,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,136765,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,137665,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,138566,0.656,saved-2019-08-27_SR1_results,0.5740000000000001
S1L1,A01,139467,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,140358,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,141258,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,142159,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,143060,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,143961,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,144861,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,145762,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,146663,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,147564,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,148464,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,149365,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,150266,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,151167,0.651,saved-2019-08-27_SR1_results,0.5690000000000001
S1L1,A01,152057,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,152958,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,153859,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,154760,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,155660,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,156561,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,157462,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,158363,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,159263,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,160164,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,161065,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
S1L1,A01,161966,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,162866,0.651,saved-2019-08-27_SR1_results,0.5690000000000001
S1L1,A01,163757,0.653,saved-2019-08-27_SR1_results,0.5710000000000001
S1L1,A01,164658,0.652,saved-2019-08-27_SR1_results,0.5700000000000001
S1L1,A01,165559,0.654,saved-2019-08-27_SR1_results,0.5720000000000001
