run,plate,well,A,mu,lambda
SR1_results_MITACS DRUG RUN 2,S1L1,C03,0.954,3.748230598261453e-5,25297.61873749186
SR1_results_MITACS DRUG RUN 2,S1L1,C04,0.045,1.4368269933720284e-6,10048.307777776368
SR1_results_MITACS DRUG RUN 2,S1L1,C05,0.9830000000000001,3.786281712551924e-5,25229.406356335247
SR1_results_MITACS DRUG RUN 2,S1L1,C06,0.7050000000000001,3.0256053887928187e-5,57552.60954271508
SR1_results_MITACS DRUG RUN 2,S1L1,C07,1.0070000000000001,3.592615427833458e-5,29264.278676748618
SR1_results_MITACS DRUG RUN 2,S1L1,C08,0.969,3.58797572584887e-5,25791.445787995395
SR1_results_MITACS DRUG RUN 2,S1L1,C09,1.0070000000000001,3.795102886608757e-5,25518.01800864719
SR1_results_MITACS DRUG RUN 2,S1L1,C10,0.05699999999999998,4.153502169634921e-6,93639.2223622083
SR1_results_MITACS DRUG RUN 2,S1L1,C11,0.8390000000000001,3.498188374148252e-5,25419.164569527275
SR1_results_MITACS DRUG RUN 2,S1L1,C12,0.613,3.310091952858359e-5,64858.90317601173
SR1_results_MITACS DRUG RUN 2,S1L1,D01,0.021000000000000005,2.772096026619401e-6,-0
SR1_results_MITACS DRUG RUN 2,S1L1,D02,0.9820000000000001,3.6040877765190137e-5,23632.385877234654
SR1_results_MITACS DRUG RUN 2,S1L1,D03,0.05699999999999998,3.212055479304405e-6,10452.186228633656
SR1_results_MITACS DRUG RUN 2,S1L1,D04,0.933,3.723077449419658e-5,25507.57185795069
SR1_results_MITACS DRUG RUN 2,S1L1,D05,0.789,3.530927144287519e-5,27417.10640297017
SR1_results_MITACS DRUG RUN 2,S1L1,D06,0.5990000000000001,1.6291025317604726e-5,25044.491956086767
SR1_results_MITACS DRUG RUN 2,S1L1,D07,0.23700000000000002,9.158512633060551e-6,6999.91448526501
SR1_results_MITACS DRUG RUN 2,S1L1,D08,1.0030000000000001,4.7945108517559294e-5,17554.988189463507
SR1_results_MITACS DRUG RUN 2,S1L1,D09,0.076,4.464799368998501e-6,224.07731052136114
SR1_results_MITACS DRUG RUN 2,S1L1,D10,0.753,3.470127470382626e-5,25362.38486195687
SR1_results_MITACS DRUG RUN 2,S1L1,D11,0.62,2.91655982576608e-5,23364.592417909393
SR1_results_MITACS DRUG RUN 2,S1L1,D12,0.627,5.3755585684327984e-5,14692.179844125207
SR1_results_MITACS DRUG RUN 2,S1L1,E01,0.666,2.8194841849807192e-5,29905.007849776775
SR1_results_MITACS DRUG RUN 2,S1L1,E02,0.8430000000000001,3.231067345425841e-5,50398.470815122695
SR1_results_MITACS DRUG RUN 2,S1L1,E03,0.8440000000000001,3.475140359640814e-5,25506.799798513755
SR1_results_MITACS DRUG RUN 2,S1L1,E04,0.8150000000000001,3.430141118089605e-5,25588.900822428455
SR1_results_MITACS DRUG RUN 2,S1L1,E05,0.638,1.7275435828782308e-5,33582.532672401234
SR1_results_MITACS DRUG RUN 2,S1L1,E06,0.8170000000000001,4.081498581507559e-5,25856.814898084656
SR1_results_MITACS DRUG RUN 2,S1L1,E07,0.5840000000000001,1.8294565197758185e-5,43835.860545953365
SR1_results_MITACS DRUG RUN 2,S1L1,E08,0.7170000000000001,3.167474063181678e-5,63040.797528170144
SR1_results_MITACS DRUG RUN 2,S1L1,E09,0.795,3.679514938715711e-5,26120.390288936364
SR1_results_MITACS DRUG RUN 2,S1L1,E10,0.8380000000000001,3.5662504030531435e-5,25883.517350139944
SR1_results_MITACS DRUG RUN 2,S1L1,E11,0.548,1.3542328632434926e-5,57245.08452897802
SR1_results_MITACS DRUG RUN 2,S1L1,E12,0.5389999999999999,2.549375610478553e-5,21166.6583387794
SR1_results_MITACS DRUG RUN 2,S1L1,F01,0.9369999999999999,3.225589014195479e-5,27444.241433658317
SR1_results_MITACS DRUG RUN 2,S1L1,F02,0.678,6.80735937509071e-5,7568.071556308023
SR1_results_MITACS DRUG RUN 2,S1L1,F03,0.529,4.050463888603559e-6,84977.6023569989
SR1_results_MITACS DRUG RUN 2,S1L1,F04,0.856,3.76007430229066e-5,25623.864540804163
SR1_results_MITACS DRUG RUN 2,S1L1,F05,0.8300000000000001,3.754851991822028e-5,27297.06678435795
SR1_results_MITACS DRUG RUN 2,S1L1,F06,0.798,3.553616278061232e-5,24963.96573814242
SR1_results_MITACS DRUG RUN 2,S1L1,F07,0.996,4.681001983957883e-5,30825.609553505637
SR1_results_MITACS DRUG RUN 2,S1L1,F08,0.608,2.470581097184151e-5,40613.99335630614
SR1_results_MITACS DRUG RUN 2,S1L1,F09,0.6930000000000001,4.780626203647627e-5,13617.651547545347
SR1_results_MITACS DRUG RUN 2,S1L1,F10,0.733,3.604241244197598e-5,14093.530211140356
SR1_results_MITACS DRUG RUN 2,S1L1,F11,0.562,2.989683748672081e-5,27186.555157739393
SR1_results_MITACS DRUG RUN 2,S1L1,F12,0.595,7.435012617574905e-5,15892.961009243998
SR1_results_MITACS DRUG RUN 2,S1L1,G01,0.105,3.3454057747885565e-6,8723.560564275846
SR1_results_MITACS DRUG RUN 2,S1L1,G02,0.622,2.701390324348757e-5,63730.3671556069
SR1_results_MITACS DRUG RUN 2,S1L1,G03,0.211,2.6969679375899015e-6,14959.272542200017
SR1_results_MITACS DRUG RUN 2,S1L1,G04,0.44000000000000006,1.7934208956823976e-5,69395.05327702197
SR1_results_MITACS DRUG RUN 2,S1L1,G05,0.126,5.967398865903797e-6,9076.878776180243
SR1_results_MITACS DRUG RUN 2,S1L1,G06,0.47000000000000003,9.552085008057865e-6,67340.66328737137
SR1_results_MITACS DRUG RUN 2,S1L1,G07,0.14800000000000002,8.64865504309378e-6,73380.38329235278
SR1_results_MITACS DRUG RUN 2,S1L1,G08,0.659,2.09839726127819e-5,87727.96233278888
SR1_results_MITACS DRUG RUN 2,S1L1,G09,0.33599999999999997,4.967423565184111e-6,49571.09928458475
SR1_results_MITACS DRUG RUN 2,S1L1,G10,0.653,3.279536934470479e-5,28247.90071549872
SR1_results_MITACS DRUG RUN 2,S1L1,G11,0.011999999999999997,9.33387957270627e-6,-0
