"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"101","S1L2","A11","Result_96_2020-01-13_mitacs_control",3.34885642229437,0.000205143231763931,14535.95245178,"H2O","case","S6.45"
"102","S1L2","B10","Result_96_2020-01-13_mitacs_control",3.96374609966443,0.000218193121715301,6129.48402444431,"H2O","case","S6.45"
"103","S1L2","B12","Result_96_2020-01-13_mitacs_control",3.32516648558425,0.000229425262837307,14980.0281190991,"H2O","case","S6.45"
"104","S1L2","B06","Result_96_2020-01-13_mitacs_control",4.06413033741972,0.000212419319984587,7062.93056460322,"H2O","case","S6.45"
"105","S1L2","D09","Result_96_2020-01-13_mitacs_control",4.4973386354134,0.000209659351006836,7803.09070993403,"ETOH","case","S6.45"
"106","S1L2","D02","Result_96_2020-01-13_mitacs_control",4.06764869232932,0.000201188530943771,7840.27275157138,"DMSO","case","S6.45"
"107","S1L2","D03","Result_96_2020-01-13_mitacs_control",4.22351209158348,0.000191663283746128,21590.2235740668,"ETOH","case","S6.45"
"108","S1L2","B11","Result_96_2020-01-13_mitacs_control",4.04139662183117,0.000182516539948781,10979.1289589318,"DMSO","case","S6.45"
"109","S1L2","E04","Result_96_2020-01-13_mitacs_control",4.00134517029875,0.000241895597699656,6434.49465356958,"H2O","case","S6.45"
"110","S1L2","F04","Result_96_2020-01-13_mitacs_control",4.00537317209885,0.000252744426946493,6830.43402510828,"H2O","case","S6.45"
"111","S1L2","H12","Result_96_2020-01-13_mitacs_control",4.1963972128035,0.000215572330161329,16603.2313443528,"H2O","case","S6.45"
"112","S1L2","C11","Result_96_2020-01-13_mitacs_control",3.93949526104045,0.000208552667268146,6331.54891090126,"H2O","case","S6.45"
"113","S1L2","B03","Result_96_2020-01-13_mitacs_control",4.04419306896683,0.000133414749014556,10635.9203135382,"DMSO","case","S6.45"
"114","S1L2","H01","Result_96_2020-01-13_mitacs_control",3.9668331360648,0.000166366200335996,14357.637382815,"DMSO","case","S6.45"
"115","S1L2","C05","Result_96_2020-01-13_mitacs_control",3.92259549631439,0.000200279643917088,7072.59521134849,"H2O","case","S6.45"
"116","S1L2","D07","Result_96_2020-01-13_mitacs_control",4.01390255651114,0.000182105908564531,16317.291382846,"DMSO","case","S6.45"
"117","S1L2","C08","Result_96_2020-01-13_mitacs_control",4.05414868688419,0.000181838589001313,7222.54027355728,"H2O","case","S6.45"
"118","S1L2","F10","Result_96_2020-01-13_mitacs_control",3.93176526424755,0.000224596112591792,6571.61992152209,"H2O","case","S6.45"
"119","S1L2","D06","Result_96_2020-01-13_mitacs_control",4.02930783233478,0.000215521532156135,7468.21084742146,"H2O","case","S6.45"
"120","S1L2","B07","Result_96_2020-01-13_mitacs_control",4.09252049775671,0.000185770376530104,15739.6884885232,"DMSO","DMSO","S6.45"
"121","S1L2","F12","Result_96_2020-01-13_mitacs_control",3.78171899507075,0.000287420409556685,18107.1572235545,"H2O","case","S6.45"
"122","S1L2","E05","Result_96_2020-01-13_mitacs_control",4,0.000210914770013803,7144.84480751797,"H2O","case","S6.45"
"123","S1L2","D04","Result_96_2020-01-13_mitacs_control",4.04504647977693,0.000254902086629187,6949.03640449658,"H2O","case","S6.45"
