run,plate,well,A,mu,lambda
saved-2019-08-27_SR1_results,S1L1,D11,0.562,3.2492398290930334e-5,23078.84412181928
saved-2019-08-27_SR1_results,S1L1,D12,0.537,2.8894057242727534e-5,23571.06993672892
saved-2019-08-27_SR1_results,S1L1,E01,0.4600000000000001,5.0592906648085824e-5,18047.9385970218
saved-2019-08-27_SR1_results,S1L1,E02,0.465,4.3687231656988545e-5,16996.312029152254
saved-2019-08-27_SR1_results,S1L1,E03,0.458,4.9379425180775654e-5,17153.575907825227
saved-2019-08-27_SR1_results,S1L1,E04,0.441,1.6788656336464963e-5,30996.151248126993
saved-2019-08-27_SR1_results,S1L1,E05,0.46,1.3994948782922784e-5,36108.428940844606
saved-2019-08-27_SR1_results,S1L1,E06,0.425,1.1662617560335948e-5,53476.34618054385
saved-2019-08-27_SR1_results,S1L1,E07,0.435,3.8515548250830375e-5,17515.411589730094
saved-2019-08-27_SR1_results,S1L1,E08,0.447,1.362750761465352e-5,36958.36992991
saved-2019-08-27_SR1_results,S1L1,E09,0.433,1.628449263920186e-5,33823.13821362777
saved-2019-08-27_SR1_results,S1L1,E10,0.41400000000000003,1.6695261915314393e-5,36657.24103940268
saved-2019-08-27_SR1_results,S1L1,E11,0.41,1.4583061501436643e-5,34942.6957911373
saved-2019-08-27_SR1_results,S1L1,E12,0.43,1.578061580289081e-5,35103.934778141724
saved-2019-08-27_SR1_results,S1L1,F01,0.682,7.145378172223841e-5,13793.518644791044
saved-2019-08-27_SR1_results,S1L1,F02,0.6920000000000001,6.30996838971018e-5,13345.399268476247
saved-2019-08-27_SR1_results,S1L1,F03,0.7000000000000001,7.390109797389569e-5,13524.338256856745
saved-2019-08-27_SR1_results,S1L1,F04,0.671,7.021826469319747e-5,13514.116539084465
saved-2019-08-27_SR1_results,S1L1,F05,0.7020000000000001,3.4835454115376224e-5,25115.488340565076
saved-2019-08-27_SR1_results,S1L1,F06,0.6940000000000001,3.3099361966837996e-5,33930.59710426773
saved-2019-08-27_SR1_results,S1L1,F07,0.647,5.6950712823497686e-5,13471.977641489411
saved-2019-08-27_SR1_results,S1L1,F08,0.685,3.4229114132704305e-5,25130.597222293723
saved-2019-08-27_SR1_results,S1L1,F09,0.634,7.368516448653797e-5,15069.025828138629
saved-2019-08-27_SR1_results,S1L1,F10,0.615,4.2473556395665555e-5,14138.21075939908
saved-2019-08-27_SR1_results,S1L1,F11,0.6020000000000001,2.998634168171741e-5,21952.26295966188
saved-2019-08-27_SR1_results,S1L1,F12,0.5920000000000001,3.946382040365529e-5,14631.392132386958
