"","well","compound","strain","run","plate","A","mu","lambda","DT","auc"
"70","F10","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.615,4.24735563956656e-05,14138.2107593991,4.53319429376822,80099.359
"71","F11","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.602,2.99863416817174e-05,21952.2629596619,6.42095276351318,78164.194
"72","F12","DMSO","W-34/70","saved-2019-08-27_SR1_results","S1L1",0.592,3.94638204036553e-05,14631.392132387,4.87892154179375,75935.004
"73","G01","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.407,3.47392266599351e-05,39115.8247282036,5.54246314616243,46755.2175
"74","G02","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.415,2.3674441106828e-05,34508.2099830887,8.13285866475396,48631.209
"75","G03","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.421,2.39152020309475e-05,33959.8694127444,8.05098293711739,50005.486
"76","G04","H2O","U5-05","saved-2019-08-27_SR1_results","S1L1",0.419,2.43291851005349e-05,33928.6393069489,7.91398818716047,50045.5095
"77","G05","ETOH","U5-05","saved-2019-08-27_SR1_results","S1L1",0.401,2.36972546329413e-05,38332.7599698002,8.12502910025807,45771.205
"78","G06","ETOH","U5-05","saved-2019-08-27_SR1_results","S1L1",0.346,5.76501999082154e-06,41320.1666315853,33.3981293725637,32212.9045
"79","G07","ETOH","U5-05","saved-2019-08-27_SR1_results","S1L1",0.4,3.5476839459096e-05,36292.264235019,5.42722763426739,47919.274
"80","G08","ETOH","U5-05","saved-2019-08-27_SR1_results","S1L1",0.399,2.33065119335318e-05,36516.5696418981,8.26124836002847,44603.274
"81","G09","DMSO","U5-05","saved-2019-08-27_SR1_results","S1L1",0.375,2.72581141418796e-05,55348.4027552501,7.0636171852055,40100.4175
"82","G10","DMSO","U5-05","saved-2019-08-27_SR1_results","S1L1",0.374,1.93540403511452e-05,54717.6227666862,9.94835600192808,39082.7515
"83","G11","DMSO","U5-05","saved-2019-08-27_SR1_results","S1L1",0.372,2.19128629176109e-05,55968.0936771496,8.78666033793934,39273.03
