"","sample","well","solvent","control","control2","plate","auc","rel_fit_off_plate","rel_fit_on_plate","rel_fit_to_by","run","A","mu","lambda","percent_inhib_off_plate","percent_inhib_onplate","DT"
"21","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S2L1",68367.9075,0.847729309031574,0.803804399093821,0.923313539736532,"SAM-MIATCS3ISH",0.507,2.78089029213062e-05,28342.1208783379,60.8580388247597,38.7796677502604,6.92371374856919
"22","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S2L2",91559.804,1.87394620872557,0.791817350972668,1.23652178076129,"SAM-MIATCS3ISH",0.861,2.81349442446245e-05,45098.007813911,-5.5145596700256,-40.4193216499854,6.84347840943957
"23","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S3L1",79107.2985,1.35767844966413,0.535438983111214,1.06834979258403,"SAM-MIATCS3ISH",0.588,3.47961690495671e-05,25491.33315731,13.2525893073755,28.1860740685782,5.53339315068274
"24","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S3L2",101613.51,1.0700128723283,1.52939791147091,1.3722978080491,"SAM-MIATCS3ISH",0.906,2.0186689238556e-05,40406.530541313,71.0245317239079,4.11937293319249,9.5380119648905
"25","4-Aminopyridine","G06","H2O",1,"case","S1L1",95314.408,1.29559124748222,1.22899322561549,2.24966105883564,"SAM-MIATCS3ISH",0.834,2.85781398503215e-05,33669.7699330662,47.29594656888,42.8480572326306,6.73734835427743
"26","4-Aminopyridine","G06","H2O",1,"case","S1L2",191688.7355,2.45402818536982,1.48771805901362,4.52433889818415,"SAM-MIATCS3ISH",1.472,5.02499048536511e-05,6494.34746990984,-12.7083343586755,-10.0577793233659,3.83166662801918
"27","4-Aminopyridine","G06","H2O",1,"case","S2L1",57145.602,0.708578095616768,0.556212629112459,1.34878071637522,"SAM-MIATCS3ISH",0.487,1.94014091888937e-05,42024.4542284349,72.6918675157517,47.6275510133662,9.92406693834863
"28","4-Aminopyridine","G06","H2O",1,"case","S2L2",44365.5125,0.908024922678319,0.409017749344456,1.04713828602425,"SAM-MIATCS3ISH",0.412,1.36073392067041e-05,17347.5370201033,48.9683579184494,37.5969009723169,14.1497820083747
"29","4-Aminopyridine","G06","H2O",1,"case","S3L1",172539.5715,2.96120917262563,1.57153760266681,4.07237020358703,"SAM-MIATCS3ISH",1.457,5.09236373271966e-05,27997.4069523542,-26.9534492401123,43.6487455740034,3.78097271904896
"30","4-Aminopyridine","G06","H2O",1,"case","S3L2",82142.3595,0.864977324653176,1.25808536899389,1.93876740490302,"SAM-MIATCS3ISH",0.73,1.98173851990321e-05,37508.5970457235,71.5546214951924,0.176651354802684,9.71575621885158
"31","4-Aminopyridine","G12","H2O-2",2,"case","S1L1",59087.6375,0.803167407590699,0.842670662303229,1.25795205073703,"SAM-MIATCS3ISH",0.46,2.36786347734531e-05,32271.5815858268,56.3316563354977,4.95230053571213,8.13141827352046
"32","4-Aminopyridine","G12","H2O-2",2,"case","S1L2",201501.486,2.5796525014789,1.57117437611426,4.28988563877273,"SAM-MIATCS3ISH",1.658,3.76552349493115e-05,8202.2601543218,15.540958268837,-4.36957092298507,5.11325672905924
"33","4-Aminopyridine","G12","H2O-2",2,"case","S2L1",63463.3175,0.786914742024632,0.746140925661472,1.35110851903159,"SAM-MIATCS3ISH",0.555,1.99813260669484e-05,32012.1122681587,71.875615109466,56.0118058569026,9.63604131396264
"34","4-Aminopyridine","G12","H2O-2",2,"case","S2L2",77361.744,1.58335580173586,0.669031261804642,1.64700043242367,"SAM-MIATCS3ISH",0.615,1.70465983325193e-05,14312.0037811741,36.0700948511309,14.921751631,11.2949739140371
"35","4-Aminopyridine","G12","H2O-2",2,"case","S3L1",142532.371,2.44621080678457,0.964732575069166,3.03445688441785,"SAM-MIATCS3ISH",1.333,3.80938346830377e-05,26133.7364835223,5.03145569274903,21.3802008354847,5.05438439293191
